name,address,city,state,source_url
ITT Technical Institute-Rancho Cordova,10863 Gold Center Dr,Rancho Cordova,CA,https://databayou.com/usofa/colleges.html
Academy of Chinese Culture and Health Sciences,"1600 Broadway, Ste. 200",Oakland,CA,https://databayou.com/usofa/colleges.html
The Academy of Radio and TV Broadcasting,16052 Beach Blvd St 263n,Huntington Beach,CA,https://databayou.com/usofa/colleges.html
Avalon School of Cosmetology-Alameda,2318 Central Avenue,Alameda,CA,https://databayou.com/usofa/colleges.html
College of Alameda,555 Ralph Appezzato Memorial Pky,Alameda,CA,https://databayou.com/usofa/colleges.html
Allan Hancock College,800 South College Drive,Santa Maria,CA,https://databayou.com/usofa/colleges.html
American Academy of Dramatic Arts-Los Angeles,1336 N La Brea,Los Angeles,CA,https://databayou.com/usofa/colleges.html
American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA,https://databayou.com/usofa/colleges.html
American Film Institute Conservatory,2021 N Western Ave,Los Angeles,CA,https://databayou.com/usofa/colleges.html
American Beauty College,646 S. Sunset Ave,West Covina,CA,https://databayou.com/usofa/colleges.html
American Career College-Los Angeles,4021 Rosewood Avenue,Los Angeles,CA,https://databayou.com/usofa/colleges.html
American Conservatory Theater,30 Grant Ave,San Francisco,CA,https://databayou.com/usofa/colleges.html
American River College,4700 College Oak Dr,Sacramento,CA,https://databayou.com/usofa/colleges.html
Antelope Valley College,3041 West  Ave K,Lancaster,CA,https://databayou.com/usofa/colleges.html
Art Center College of Design,1700 Lida St,Pasadena,CA,https://databayou.com/usofa/colleges.html
Associated Technical College-Los Angeles,1670 Wilshire Blvd,Los Angeles,CA,https://databayou.com/usofa/colleges.html
Associated Technical College-San Diego,707 Broadway-Ste 300,San Diego,CA,https://databayou.com/usofa/colleges.html
Azusa Pacific University,901 E Alosta,Azusa,CA,https://databayou.com/usofa/colleges.html
Bakersfield College,1801 Panorama Dr,Bakersfield,CA,https://databayou.com/usofa/colleges.html
Barstow Community College,2700 Barstow Road,Barstow,CA,https://databayou.com/usofa/colleges.html
Bellus Academy-National City,1520 East Plaza Blvd,National City,CA,https://databayou.com/usofa/colleges.html
Bethesda University,730 N. Euclid St,Anaheim,CA,https://databayou.com/usofa/colleges.html
Biola University,13800 Biola Ave,La Mirada,CA,https://databayou.com/usofa/colleges.html
Brooks Institute,5301 N. Ventura Ave,Ventura,CA,https://databayou.com/usofa/colleges.html
Brownson Technical School,1110 Technology Cir Ste D,Anaheim,CA,https://databayou.com/usofa/colleges.html
Bryan University,3580 Wilshire blvd suite 400,Los Angeles,CA,https://databayou.com/usofa/colleges.html
Butte College,3536 Butte Campus Drive,Oroville,CA,https://databayou.com/usofa/colleges.html
Phillips Graduate Institute,19900 Plummer Street,Chatsworth,CA,https://databayou.com/usofa/colleges.html
California Institute of Integral Studies,1453 Mission Street,San Francisco,CA,https://databayou.com/usofa/colleges.html
Cabrillo College,6500 Soquel Dr,Aptos,CA,https://databayou.com/usofa/colleges.html
California Baptist University,8432 Magnolia Ave,Riverside,CA,https://databayou.com/usofa/colleges.html
California College of the Arts,1111 Eighth Street,San Francisco,CA,https://databayou.com/usofa/colleges.html
University of California-Hastings College of Law,200 McAllister St,San Francisco,CA,https://databayou.com/usofa/colleges.html
California Institute of Technology,1200 E California Blvd,Pasadena,CA,https://databayou.com/usofa/colleges.html
California Lutheran University,60 W Olsen Rd,Thousand Oaks,CA,https://databayou.com/usofa/colleges.html
California Polytechnic State University-San Luis Obispo,1 Grand Ave.,San Luis Obispo,CA,https://databayou.com/usofa/colleges.html
Alliant International University-San Diego,10455 Pomerado Road,San Diego,CA,https://databayou.com/usofa/colleges.html
California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,https://databayou.com/usofa/colleges.html
California State University-Stanislaus,One University Circle,Turlock,CA,https://databayou.com/usofa/colleges.html
California State University-Chancellors Office,"Analytic Studies 401 Golden Shore, 6th Floor",Long Beach,CA,https://databayou.com/usofa/colleges.html
California State University-San Bernardino,5500 University Pky,San Bernardino,CA,https://databayou.com/usofa/colleges.html
California State Polytechnic University-Pomona,3801 West Temple Avenue,Pomona,CA,https://databayou.com/usofa/colleges.html
California State University-Chico,First and Normal Sts,Chico,CA,https://databayou.com/usofa/colleges.html
California State University-Dominguez Hills,1000 E Victoria St,Carson,CA,https://databayou.com/usofa/colleges.html
California State University-Fresno,5241 N Maple Ave,Fresno,CA,https://databayou.com/usofa/colleges.html
California State University-Fullerton,800 N State College Blvd,Fullerton,CA,https://databayou.com/usofa/colleges.html
California State University-East Bay,25800 Carlos Bee Blvd,Hayward,CA,https://databayou.com/usofa/colleges.html
California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,https://databayou.com/usofa/colleges.html
California State University-Los Angeles,5151 State University Dr,Los Angeles,CA,https://databayou.com/usofa/colleges.html
California State University-Northridge,18111 Nordhoff St,Northridge,CA,https://databayou.com/usofa/colleges.html
California State University-Sacramento,6000 J St,Sacramento,CA,https://databayou.com/usofa/colleges.html
University of California-Berkeley,200 California Hall,Berkeley,CA,https://databayou.com/usofa/colleges.html
University of California-Davis,One Shields Avenue,Davis,CA,https://databayou.com/usofa/colleges.html
University of California-Irvine,501 Aldrich Hall,Irvine,CA,https://databayou.com/usofa/colleges.html
University of California-Los Angeles,405 Hilgard Ave,Los Angeles,CA,https://databayou.com/usofa/colleges.html
University of California-Riverside,900 University Ave,Riverside,CA,https://databayou.com/usofa/colleges.html
University of California-San Diego,9500 Gilman Dr,La Jolla,CA,https://databayou.com/usofa/colleges.html
University of California-San Francisco,500 Parnassus Ave,San Francisco,CA,https://databayou.com/usofa/colleges.html
University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,https://databayou.com/usofa/colleges.html
University of California-Santa Cruz,1156 High St,Santa Cruz,CA,https://databayou.com/usofa/colleges.html
Sofia University,1069 East Meadow Cr,Palo Alto,CA,https://databayou.com/usofa/colleges.html
California Beauty School,1115 15th St,Modesto,CA,https://databayou.com/usofa/colleges.html
California Christian College,5364 E. Belmont Avenue,Fresno,CA,https://databayou.com/usofa/colleges.html
Le Cordon Bleu College of Culinary Arts-San Francisco,350 Rhode Island Street,San Francisco,CA,https://databayou.com/usofa/colleges.html
California Hair Design Academy,"8011 University Avenue, Suite A-2",La Mesa,CA,https://databayou.com/usofa/colleges.html
California Institute of the Arts,24700 W McBean Pky,Valencia,CA,https://databayou.com/usofa/colleges.html
The California Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,https://databayou.com/usofa/colleges.html
California Western School of Law,225 Cedar St,San Diego,CA,https://databayou.com/usofa/colleges.html
Canada College,4200 Farm Hill Blvd.,Redwood City,CA,https://databayou.com/usofa/colleges.html
College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,CA,https://databayou.com/usofa/colleges.html
Career Academy of Beauty,12471 Valley View,Garden Grove,CA,https://databayou.com/usofa/colleges.html
Casa Loma College-Van Nuys,6725 Kester Ave,Van Nuys,CA,https://databayou.com/usofa/colleges.html
CET-San Diego,4153 Market Street,San Diego,CA,https://databayou.com/usofa/colleges.html
CET-Sobrato,701 Vine St,San Jose,CA,https://databayou.com/usofa/colleges.html
CET-El Centro,294 S 3rd St,El Centro,CA,https://databayou.com/usofa/colleges.html
CET-San Bernardino,1430 Cooley Court,San Bernardino,CA,https://databayou.com/usofa/colleges.html
CET-Watsonville,10 Blanca Lane,Watsonville,CA,https://databayou.com/usofa/colleges.html
CET-Gilroy,7800 Arroyo Cir,Gilroy,CA,https://databayou.com/usofa/colleges.html
CET-Salinas,421 Monterey St,Salinas,CA,https://databayou.com/usofa/colleges.html
Cerritos College,11110 Alondra Blvd,Norwalk,CA,https://databayou.com/usofa/colleges.html
Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,CA,https://databayou.com/usofa/colleges.html
Chabot College,25555 Hesperian Blvd,Hayward,CA,https://databayou.com/usofa/colleges.html
Chaffey College,5885 Haven Ave,Rancho Cucamonga,CA,https://databayou.com/usofa/colleges.html
Chapman University,One University Dr.,Orange,CA,https://databayou.com/usofa/colleges.html
